GuideUID	TargetGene	Cell	Type	log2FC.D7	log2FC.D14
UID_032858	PSMA4	HAP1	SM	0.217072470740266	0.409629977701605
UID_032859	PSMA4	HAP1	SM	-2.42572673955445	-2.67116603193831
UID_032860	PSMA4	HAP1	SM	-2.29883284785425	-3.11000894904444
UID_032865	RFC2	HAP1	PM	-2.43926642841055	-2.90413601638481
UID_032866	RFC2	HAP1	SM	0.0304436809491515	0.0803953957943584
UID_032867	RFC2	HAP1	SM	-0.069831598264194	-0.324590863917826
UID_032868	RFC2	HAP1	SM	-0.699498774901136	-1.48711963111407
UID_032869	RFC2	HAP1	SM	-2.46529916654077	-3.27632580630713
UID_032870	RFC2	HAP1	SM	-2.55366603547254	-2.76472218326621
UID_032871	RFC2	HAP1	SM	-0.0906606458137363	-0.0900366363225998
UID_032872	RFC2	HAP1	SM	-0.13261314543121	-0.431954168982063
UID_032873	RFC2	HAP1	SM	-0.261437387351173	-0.706185367512473
UID_032874	RFC2	HAP1	SM	-2.73350549032921	-3.36849155781508
UID_032875	RFC2	HAP1	SM	-2.21149499110201	-2.51104272269611
UID_032876	RFC2	HAP1	PM	-2.56070225277307	-3.20891870064357
UID_032877	RFC2	HAP1	SM	0.0938207804954855	0.114401362085855
UID_032878	RFC2	HAP1	SM	-0.0976129414581973	-0.685737353096161
UID_032879	RFC2	HAP1	SM	-0.0823558806688413	-0.219094074739234
UID_032880	RFC2	HAP1	SM	-1.1888005780738	-1.8677673299236
UID_032881	RFC2	HAP1	SM	-2.0121398494426	-3.47002864014138
UID_032882	RFC2	HAP1	SM	-0.0421126761332129	-0.15993151573607
UID_032883	RFC2	HAP1	SM	-0.111147830832126	-0.268864898696819
UID_032884	RFC2	HAP1	SM	-0.555908128895232	-1.00965471406206
UID_032885	RFC2	HAP1	SM	-0.0314870620826426	-0.265610106891419
UID_032886	RFC2	HAP1	SM	-1.67997180279383	-2.74938761731656
UID_032887	RFC2	HAP1	PM	-1.68780707751388	-2.14208476132598
UID_032888	RFC2	HAP1	SM	-0.0184101777754583	-0.14507997666175
UID_032889	RFC2	HAP1	SM	-0.465554818265141	-0.876747834396557
UID_032890	RFC2	HAP1	SM	-1.33425221603111	-2.53126188001493
UID_032891	RFC2	HAP1	SM	-0.232605059930216	-0.624481426704304
UID_032892	RFC2	HAP1	SM	-1.19998842090483	-2.34876073591011
UID_032893	RFC2	HAP1	SM	0.171717800446975	0.292312642794543
UID_032894	RFC2	HAP1	SM	-0.128110810021393	-0.308879565161868
UID_032895	RFC2	HAP1	SM	-0.0720442448027045	-0.452156781123779
UID_032896	RFC2	HAP1	SM	-1.39279270737961	-2.2137610231704
UID_032897	RFC2	HAP1	SM	-2.6482266501757	-3.02474182099424
UID_032898	RFC2	HAP1	PM	-3.34903081804811	-2.92731228766232
UID_032899	RFC2	HAP1	SM	0.178564484759712	0.0515214519061766
UID_032900	RFC2	HAP1	SM	-0.0718307901806194	-0.265833459051124
UID_032901	RFC2	HAP1	SM	-0.183325730018808	-0.330208987138733
UID_032902	RFC2	HAP1	SM	-0.995293597742403	-1.92756132946939
UID_032903	RFC2	HAP1	SM	-2.80827965892438	-3.75338365444788
UID_032904	RFC2	HAP1	SM	0.273081971910284	0.263399425299907
UID_032905	RFC2	HAP1	SM	-0.273892950222275	-0.513022760983442
UID_032906	RFC2	HAP1	SM	-0.857495016194545	-1.67500056757376
UID_032907	RFC2	HAP1	SM	-2.93413641745546	-3.5016172643129
UID_032908	RFC2	HAP1	SM	-2.5696035418932	-2.77155268647101
UID_032913	CDC27	HAP1	PM	-4.67481269947518	-4.38845648276785
UID_032914	CDC27	HAP1	SM	0.111349711222159	0.141187157871835
UID_032915	CDC27	HAP1	SM	-2.98912528485273	-3.73243939004757
UID_032916	CDC27	HAP1	SM	-0.178920409933156	-0.054228631865737
UID_032917	CDC27	HAP1	SM	-3.49350071399388	-3.86067664798872
UID_032918	CDC27	HAP1	SM	-4.35139960588572	-4.42945317709715
UID_032919	CDC27	HAP1	SM	-0.00872741530029898	-0.0462911755395449
UID_032920	CDC27	HAP1	SM	-2.07835229503634	-3.06735584395193
UID_032921	CDC27	HAP1	SM	-1.80776977798959	-2.69883193027571
UID_032922	CDC27	HAP1	SM	-3.59128178400372	-3.85637091904639
UID_032923	CDC27	HAP1	SM	-4.65386024062081	-4.77255255675826
UID_032924	CDC27	HAP1	PM	-4.66376583269957	-4.09014272929991
UID_032925	CDC27	HAP1	SM	-0.000226829230151727	0.0602954319032903
UID_032926	CDC27	HAP1	SM	-2.56063658514405	-3.39148106097185
UID_032927	CDC27	HAP1	SM	-3.44641132633799	-3.07858328318025
UID_032928	CDC27	HAP1	SM	-3.6052307744978	-3.84495019921314
UID_032929	CDC27	HAP1	SM	-3.22622603085082	-3.87910913382046
UID_032930	CDC27	HAP1	SM	0.227907354322497	0.127155114197924
UID_032931	CDC27	HAP1	SM	-2.9687914295195	-3.3283937910434
UID_032932	CDC27	HAP1	SM	-3.43921109057377	-3.13329162609963
UID_032933	CDC27	HAP1	SM	-2.96728545435573	-3.7940798289794
UID_032934	CDC27	HAP1	SM	-3.8487250223913	-4.45776830365344
UID_032935	CDC27	HAP1	PM	-3.51617889650072	-3.12106756247522
UID_032936	CDC27	HAP1	SM	-0.119384246541686	-0.301627278413903
UID_032937	CDC27	HAP1	SM	-0.478376946677283	-0.97164783230971
UID_032938	CDC27	HAP1	SM	-0.0368597138550745	0.0134397681245435
UID_032939	CDC27	HAP1	SM	-4.082065202122	-4.66326197850862
UID_032940	CDC27	HAP1	SM	-3.11307441915952	-3.30037412880639
UID_032941	CDC27	HAP1	SM	0.0152522635796618	-0.0295140524781876
UID_032942	CDC27	HAP1	SM	-2.41050108360903	-3.69518410280009
UID_032943	CDC27	HAP1	SM	-1.78091706776228	-2.69265683026905
UID_032944	CDC27	HAP1	SM	-1.95881642381782	-2.44779084812134
UID_032945	CDC27	HAP1	SM	-3.34670360006667	-3.65266229447578
UID_032946	CDC27	HAP1	PM	-4.0070368702906	-3.67620219640677
UID_032947	CDC27	HAP1	SM	0.0512754575083726	-0.0361093394308891
UID_032948	CDC27	HAP1	SM	-1.08741005321648	-1.88421596770753
UID_032949	CDC27	HAP1	SM	-0.252369146905184	-0.410026843078707
UID_032950	CDC27	HAP1	SM	-1.54162075879456	-2.56169527063419
UID_032951	CDC27	HAP1	SM	-3.87650911679905	-3.84129396570425
UID_032952	CDC27	HAP1	SM	0.0339911762627693	-0.0417630482676056
UID_032953	CDC27	HAP1	SM	-0.846491931466218	-1.28508201585499
UID_032954	CDC27	HAP1	SM	-1.07183515757116	-1.96559031702048
UID_032955	CDC27	HAP1	SM	-2.44601312495937	-3.23265246553311
UID_032956	CDC27	HAP1	SM	-4.37840624682928	-5.22407457375625
UID_032961	AQR	HAP1	PM	-5.28428224612318	-4.98861689873137
UID_032962	AQR	HAP1	SM	-0.145138255321692	-0.098208877009692
UID_032963	AQR	HAP1	SM	-4.64945359379049	-4.38260819592437
UID_032964	AQR	HAP1	SM	-4.2190137278177	-4.86641935953312
UID_032965	AQR	HAP1	SM	-5.25959380628818	-5.41412935285538
UID_032966	AQR	HAP1	SM	-5.08567719427842	-5.67753463769449
UID_032967	AQR	HAP1	SM	-0.0964129770777513	-0.377292842181757
UID_032968	AQR	HAP1	SM	-3.43504710846753	-3.6921977809223
UID_032969	AQR	HAP1	SM	-4.71078671691921	-5.53671764940404
UID_032970	AQR	HAP1	SM	-4.69874967355143	-5.41848517891349
UID_032971	AQR	HAP1	SM	-5.2805234196634	-5.76288712973856
UID_032972	AQR	HAP1	PM	-5.2442853605548	-4.74877066338682
UID_032973	AQR	HAP1	SM	-0.0980753120958519	-0.012299116294678
UID_032974	AQR	HAP1	SM	-1.6112035540386	-1.76687443481733
UID_032975	AQR	HAP1	SM	-0.482420933159179	-1.01510434073648
UID_032976	AQR	HAP1	SM	-3.73474194853803	-4.14961222791276
UID_032977	AQR	HAP1	SM	-3.47425170315035	-3.56123514420869
UID_032978	AQR	HAP1	SM	0.102057348219951	-0.119220534336657
UID_032979	AQR	HAP1	SM	-0.397803692100975	-0.903993630248569
UID_032980	AQR	HAP1	SM	-3.24017902107518	-4.07927121255348
UID_032981	AQR	HAP1	SM	-1.0166448082541	-1.95857396848994
UID_032982	AQR	HAP1	SM	-3.76672947139325	-4.49049490779412
UID_032983	AQR	HAP1	PM	-4.2110261269136	-4.44991479963486
UID_032984	AQR	HAP1	SM	0.12499860142794	0.106941117088402
UID_032985	AQR	HAP1	SM	0.054918166589121	0.068870608219371
UID_032986	AQR	HAP1	SM	-1.23067123409112	-1.57306841882487
UID_032987	AQR	HAP1	SM	-2.70347913747124	-3.13439316728174
UID_032988	AQR	HAP1	SM	-3.83093607707081	-4.45899390197649
UID_032989	AQR	HAP1	SM	-0.0611297508857341	0.0421186296619849
UID_032990	AQR	HAP1	SM	0.0217485832062004	-0.0115779905479604
UID_032991	AQR	HAP1	SM	-0.0478244119047108	-0.281915383751946
UID_032992	AQR	HAP1	SM	-2.57653107201628	-3.49547674214021
UID_032993	AQR	HAP1	SM	-3.22241529552156	-3.64740815646681
UID_032994	AQR	HAP1	PM	-3.17933058944982	-3.28837115516702
UID_032995	AQR	HAP1	SM	-0.0523524462824979	-0.0364014717105539
UID_032996	AQR	HAP1	SM	0.00195528059982098	0.142033164062637
UID_032997	AQR	HAP1	SM	-0.0917925918688328	-0.426590156223327
UID_032998	AQR	HAP1	SM	-0.898668812454567	-1.25711935861451
UID_032999	AQR	HAP1	SM	-2.5495180563838	-3.22858125698259
UID_033000	AQR	HAP1	SM	-0.112904355492741	-0.0856632533726473
UID_033001	AQR	HAP1	SM	0.210700072149956	0.142843747175433
